observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
"September 06, 2011 18:55",2011-09-06,2011-09-06 22:55:00 UTC,Eastern Time (US & Canada),"Meru, KE",0.371010932,37.5600867069,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
"September 11, 2011 10:04",2011-09-11,2011-09-11 14:04:00 UTC,Eastern Time (US & Canada),"Tsavo East, Voi, KE-TT, KE",-3.1529927834,38.6309261126,,,,,31428,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2012-05-28,2012-05-28,,Eastern Time (US & Canada),"Kajiado South, KE-KJ, KE",-2.7674938546,37.2970432182,16989,,,,31434,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013-01-17,2013-01-17,,Eastern Time (US & Canada),,-0.0369637794,37.9997150103,716643,,,,716643,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2013-07-13 16:24:04,2013-07-13,2013-07-13 13:24:04 UTC,Nairobi,Kenya,-4.2312138544,39.5485472282,10381,,,,31407,,obscured,true,,manual,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013-12-04 18:43,2013-12-04,2013-12-04 15:43:00 UTC,Nairobi,Kenya,0.1181692433,37.112621572,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2014-02-28,2014-02-28,,Nairobi,"Laikipia, KE",0.1795660986,37.0812495052,10,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2014-02-25,2014-02-25,,Nairobi,Kenya,0.1066018811,37.1570365914,10,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2014-04-24 22:30,2014-04-24,2014-04-24 19:30:00 UTC,Nairobi,Kenya,0.3559199575,37.0404639294,10,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013-07-02,2013-07-02,,Rome,Kenya,-2.8233773138,37.9174322687,136980,,,,136980,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
"August 08, 2014 15:30",2014-08-08,2014-08-08 12:30:00 UTC,Nairobi,"Narok, KE",-1.354303707,35.1277084127,40,,,,31447,,obscured,true,,manual,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013-10-29 ,2013-10-29,,Pacific Time (US & Canada),"Narok, KE",-1.5960808456,35.1888768732,29695,,,,31446,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2014-12-29,2014-12-29,,Nairobi,"Taita Taveta, KE",-3.5635474959,38.3643337328,65,,,,31422,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2015-04-02 15:48:47,2015-04-02,2015-04-02 12:48:47 UTC,Nairobi,"Narok, KE",-1.2640904588,35.0719215095,,,,,31447,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
01/12/2014,2014-01-12,,Melbourne,"Narok, KE",-1.461823828,35.196138282,30000,,,,31446,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
22/06/2014,2014-06-22,,Melbourne,"Nakuru, KE",-0.3888229376,36.0638570868,7000,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2014-10-14,2014-10-14,,Mexico City,"Narok, KE",-1.485677773,34.8965235479,,,,,31446,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2015-08-27 09:40,2015-08-27,2015-08-27 06:40:00 UTC,Nairobi,"Narok, KE",-1.2491660752,35.166214993,16793,,,,31447,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
