id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31511,afa6554d-f221-4deb-a154-7cc6af268d1a,"September 05, 2011 12:11",2011-09-05,2011-09-05 16:11:00 UTC,Eastern Time (US & Canada),http://www.inaturalist.org/observations/31511,"","Samburu National Park, Kenya",0.5769977791,37.5471657515,,,,,,,open,false,,,Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
31832,b8ab4f4a-8685-4b32-ad41-ce305491769f,"April 19, 2005",2005-04-19,,Nairobi,http://www.inaturalist.org/observations/31832,Lurking at the bottom of a small waterfall catching fish.,"Tsavo, Kenya.",-2.9855559671,38.0621337891,,,,,,,open,false,,,East African Crocodile,Crocodylus niloticus africanus,East African Crocodile,Reptilia,26056
523788,d7e1a30d-de8f-4d0a-991d-c1b4bdb4f432,2005-07-05,2005-07-05,,Rome,http://www.inaturalist.org/observations/523788,mission July 2005,Bura Hasuma,3.796902727,36.29363185,,,,,,,,false,,"",Crocodylus niloticus,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523806,6f8cbbf4-ffd9-4f83-a8db-83adb6227396,2005-07-09,2005-07-09,,Rome,http://www.inaturalist.org/observations/523806,mission July 2005,Kokai beach,4.100778904,36.23504746,,,,,,,,false,,"",Crocodylus niloticus,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523933,5e39a7d5-5fb2-4bd9-9b06-51f2e41f65ac,2005-01-02,2005-01-02,,Rome,http://www.inaturalist.org/observations/523933,mission Dec-Jan 2004,Ngombole,2.790789,36.749703,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523937,66340fde-44f5-411d-a2f7-914c5cba0579,2005-01-03,2005-01-03,,Rome,http://www.inaturalist.org/observations/523937,mission Dec-Jan 2004,South Island,2.616893,36.574686,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523949,9a99e168-4f88-4e4a-a738-2d06b19021c6,2005-01-05,2005-01-05,,Rome,http://www.inaturalist.org/observations/523949,mission Dec-Jan 2004,Ngombole,2.790789,36.749703,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523958,32390504-1f77-469d-846c-b1b11e48ce7d,2005-01-06,2005-01-06,,Rome,http://www.inaturalist.org/observations/523958,mission Dec-Jan 2004,Allia Bay,3.703932,36.251546,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523970,164c07aa-3b8b-4731-83d8-8816ffd187d2,2005-01-08,2005-01-08,,Rome,http://www.inaturalist.org/observations/523970,mission Dec-Jan 2004,Central island,3.495401,36.037566,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
523973,618a2ace-1c94-403c-9419-9d9ef1c16a7d,2005-01-09,2005-01-09,,Rome,http://www.inaturalist.org/observations/523973,mission Dec-Jan 2004,Koobi Fora,3.956329,36.202773,,,,,,,,false,,"",Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
843687,1b282144-4ff8-40bb-af81-1c346c049d92,"August 08, 2014 14:35",2014-08-08,2014-08-08 11:35:00 UTC,Nairobi,http://www.inaturalist.org/observations/843687,"At least three crocs ripping up a zebra. Fish (catfish?) also churning the water around the carcass. Interesting observation of behavior of a hippo attracted to the scene, see paired observation: http://www.inaturalist.org/observations/843690",Mara Triangle,-1.367937,34.989585,33,,,,33,,open,false,,manual,Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
843695,ae3bb142-8386-4eb4-a7be-b42abb0ac005,"August 08, 2014 15:25",2014-08-08,2014-08-08 12:25:00 UTC,Nairobi,http://www.inaturalist.org/observations/843695,"",Mara Triangle,-1.381086,35.007031,40,,,,40,,,false,,manual,Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
863733,18e3d8e1-0276-4176-9e7f-a92188a8f409,2013-10-30,2013-10-30,,Pacific Time (US & Canada),http://www.inaturalist.org/observations/863733,,Maasai Mara,-1.477648,35.126997,20220,,,,20220,,,false,,,Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
1218257,c8bd6e48-f5e2-41aa-ac27-5585f13a6325,2005-01-09,2005-01-09,,Rome,http://www.inaturalist.org/observations/1218257,Skull,Illeret,4.423926,36.197424,1000,,,,1000,,open,false,,,Nile Crocodile,Crocodylus niloticus,Nile Crocodile,Reptilia,341972
